name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
how to train your dragon,2010,Animation,98,8.2,347923,217000000.0,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,PG
aladdin,1992,Animation,90,8,202678,217000000.0,Ron Clements,John Musker,Scott Weinger,Robin Williams,G
alvin and the chipmunks,2007,Animation,92,5.3,45275,217000000.0,Tim Hill,Jason Lee,David Cross,Cameron Richardson,PG
saving private ryan,1998,Action,169,8.6,673306,216000000.0,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,R
mission: impossible ii,2000,Action,123,6,191745,215000000.0,John Woo,Tom Cruise,Dougray Scott,Thandie Newton,PG_13
kung fu panda,2008,Animation,92,7.6,233623,215000000.0,Mark Osborne,John Stevenson,Jack Black,Ian McShane,PG
x2,2003,Action,134,7.5,324604,215000000.0,Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,PG_13
the lorax,2012,Animation,86,6.5,66421,214000000.0,Chris Renaud,Kyle Balda,Zac Efron,Taylor Swift,PG
austin powers in goldmember,2002,Action,94,6.2,141054,213000000.0,Jay Roach,Mike Myers,Beyonc̩ Knowles,Seth Green,TV_14
back to the future,1985,Adventure,116,8.5,541540,211000000.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,PG
300,2006,Action,117,7.8,507946,211000000.0,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,R
fast five,2011,Action,130,7.3,223676,210000000.0,Justin Lin,Vin Diesel,Paul Walker,Dwayne Johnson,PG_13
mission: impossible - ghost protocol,2011,Action,133,7.4,298170,209000000.0,Brad Bird,Tom Cruise,Jeremy Renner,Simon Pegg,PG_13
wedding crashers,2005,Comedy,119,7,241020,209000000.0,David Dobkin,Owen Wilson,Vince Vaughn,Rachel McAdams,R
sherlock holmes,2009,Action,128,7.6,383206,209000000.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,PG_13
dawn of the planet of the apes,2014,Action,130,7.9,173630,209000000.0,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,PG_13
charlie and the chocolate factory,2005,Adventure,115,6.7,256618,206000000.0,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,PG
ratatouille,2007,Animation,111,8,370598,206000000.0,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,G
thor: the dark world,2013,Action,112,7.2,282818,206000000.0,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,PG_13
austin powers: the spy who shagged me,1999,Action,95,6.6,156939,205000000.0,Jay Roach,Mike Myers,Heather Graham,Michael York,TV_14
batman begins,2005,Action,140,8.3,740213,205000000.0,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,PG_13
terminator 2: judgment day,1991,Action,137,8.5,581908,205000000.0,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,TV_14
the amazing spider-man 2,2014,Action,142,7,219091,203000000.0,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,PG_13
world war z,2013,Action,116,7,348455,202000000.0,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,PG_13
the mummy returns,2001,Action,130,6.3,215693,202000000.0,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,PG_13
armageddon,1998,Action,151,6.6,274591,202000000.0,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,UNRATED
tangled,2010,Animation,100,7.9,210289,201000000.0,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,PG
godzilla,2014,Action,123,6.6,214520,201000000.0,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,PG_13
godzilla,1998,Action,139,5.3,135231,201000000.0,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,PG_13
godzilla,1954,Horror,96,7.5,15977,201000000.0,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,PG_13
superman returns,2006,Action,154,6.1,217980,200000000.0,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,PG_13
pearl harbor,2001,Action,183,6,211214,199000000.0,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,R
monsters vs. aliens,2009,Animation,94,6.6,92755,198000000.0,Rob Letterman,Conrad Vernon,Reese Witherspoon,Rainn Wilson,PG
happy feet,2006,Animation,108,6.5,106024,198000000.0,George Miller,Warren Coleman,Elijah Wood,Brittany Murphy,PG
indiana jones and the last crusade,1989,Action,127,8.3,402595,197000000.0,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,NULL
ice age: dawn of the dinosaurs,2009,Animation,94,7.1,126752,197000000.0,Carlos Saldanha,Mike Thurmeier,Ray Romano,John Leguizamo,PG
ice age: the meltdown,2006,Animation,91,6.9,146901,195000000.0,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,PG
madagascar,2005,Animation,86,6.9,205455,193000000.0,Eric Darnell,Tom McGrath,Chris Rock,Ben Stiller,PG
22 jump street,2014,Action,112,7.2,131240,192000000.0,Phil Lord,Christopher Miller,Channing Tatum,Jonah Hill,R
cars 2,2011,Animation,106,6.4,77762,191000000.0,John Lasseter,Brad Lewis,Owen Wilson,Larry the Cable Guy,G
twilight,2008,Drama,122,5.2,300738,191000000.0,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,PG_13
twilight,1998,Crime,94,6.2,7515,191000000.0,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,PG_13
teenage mutant ninja turtles,2014,Action,101,6.1,80068,191000000.0,Jonathan Liebesman,Megan Fox,Will Arnett,William Fichtner,PG_13
teenage mutant ninja turtles,1990,Action,93,6.7,60832,191000000.0,Jonathan Liebesman,Megan Fox,Will Arnett,William Fichtner,PG_13
