Mission: Impossible II,215000000.0,John Woo,Tom Cruise,Dougray Scott,Thandie Newton,PG_13
Kung Fu Panda,215000000.0,Mark Osborne,John Stevenson,Jack Black,Ian McShane,PG
X2,215000000.0,Bryan Singer,Patrick Stewart,Hugh Jackman,Halle Berry,PG_13
The Lorax,214000000.0,Chris Renaud,Kyle Balda,Zac Efron,Taylor Swift,PG
Austin Powers in Goldmember,213000000.0,Jay Roach,Mike Myers,Beyonc̩ Knowles,Seth Green,TV_14
Back to the Future,211000000.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,PG
300,211000000.0,Zack Snyder,Gerard Butler,Lena Headey,David Wenham,R
Fast Five,210000000.0,Justin Lin,Vin Diesel,Paul Walker,Dwayne Johnson,PG_13
Mission: Impossible - Ghost Protocol,209000000.0,Brad Bird,Tom Cruise,Jeremy Renner,Simon Pegg,PG_13
Wedding Crashers,209000000.0,David Dobkin,Owen Wilson,Vince Vaughn,Rachel McAdams,R
Sherlock Holmes,209000000.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel McAdams,PG_13
Dawn of the Planet of the Apes,209000000.0,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,PG_13
Charlie and the Chocolate Factory,206000000.0,Tim Burton,Johnny Depp,Freddie Highmore,David Kelly,PG
Ratatouille,206000000.0,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,G
Thor: The Dark World,206000000.0,Alan Taylor,Chris Hemsworth,Natalie Portman,Tom Hiddleston,PG_13
Austin Powers: The Spy Who Shagged Me,205000000.0,Jay Roach,Mike Myers,Heather Graham,Michael York,TV_14
Batman Begins,205000000.0,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,PG_13
Terminator 2: Judgment Day,205000000.0,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,TV_14
The Amazing Spider-Man 2,203000000.0,Marc Webb,Andrew Garfield,Emma Stone,Jamie Foxx,PG_13
World War Z,202000000.0,Marc Forster,Brad Pitt,Mireille Enos,Daniella Kertesz,PG_13
The Mummy Returns,202000000.0,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,PG_13
Armageddon,202000000.0,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,UNRATED
Tangled,201000000.0,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,PG
Godzilla,201000000.0,Gareth Edwards,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,PG_13
Superman Returns,200000000.0,Bryan Singer,Brandon Routh,Kevin Spacey,Kate Bosworth,PG_13
Pearl Harbor,199000000.0,Michael Bay,Ben Affleck,Kate Beckinsale,Josh Hartnett,R
Monsters vs. Aliens,198000000.0,Rob Letterman,Conrad Vernon,Reese Witherspoon,Rainn Wilson,PG
Happy Feet,198000000.0,George Miller,Warren Coleman,Elijah Wood,Brittany Murphy,PG
Indiana Jones and the Last Crusade,197000000.0,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,NULL
Ice Age: Dawn of the Dinosaurs,197000000.0,Carlos Saldanha,Mike Thurmeier,Ray Romano,John Leguizamo,PG
Ice Age: The Meltdown,195000000.0,Carlos Saldanha,Ray Romano,John Leguizamo,Denis Leary,PG
Madagascar,193000000.0,Eric Darnell,Tom McGrath,Chris Rock,Ben Stiller,PG
22 Jump Street,192000000.0,Phil Lord,Christopher Miller,Channing Tatum,Jonah Hill,R
Cars 2,191000000.0,John Lasseter,Brad Lewis,Owen Wilson,Larry the Cable Guy,G
Twilight,191000000.0,Catherine Hardwicke,Kristen Stewart,Robert Pattinson,Billy Burke,PG_13
Teenage Mutant Ninja Turtles,191000000.0,Jonathan Liebesman,Megan Fox,Will Arnett,William Fichtner,PG_13
Men in Black II,190000000.0,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,PG_13
Wreck-It Ralph,189000000.0,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,PG
Gladiator,188000000.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,R
The Croods,187000000.0,Kirk De Micco,Chris Sanders,Nicolas Cage,Ryan Reynolds,PG
Sherlock Holmes: A Game of Shadows,187000000.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Jared Harris,PG_13
The Day After Tomorrow,187000000.0,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,PG_13
Mr. & Mrs. Smith,186000000.0,Doug Liman,Brad Pitt,Angelina Jolie,Adam Brody,UNRATED
Dances with Wolves,184000000.0,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,PG_13
Batman Forever,184000000.0,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,PG_13
The Fugitive,184000000.0,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,PG_13
Ocean's Eleven,183000000.0,Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,PG_13
The Simpsons Movie,183000000.0,David Silverman,Dan Castellaneta,Julie Kavner,Nancy Cartwright,PG_13
What Women Want,183000000.0,Nancy Meyers,Mel Gibson,Helen Hunt,Marisa Tomei,PG_13
The Perfect Storm,183000000.0,Wolfgang Petersen,George Clooney,Mark Wahlberg,Diane Lane,PG_13
Lincoln,182000000.0,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,PG_13
Liar Liar,181000000.0,Tom Shadyac,Jim Carrey,Maura Tierney,Justin Cooper,TV_PG
Jurassic Park III,181000000.0,Joe Johnston,Sam Neill,William H. Macy,T̩a Leoni,PG_13
Thor,181000000.0,Kenneth Branagh,Chris Hemsworth,Anthony Hopkins,Natalie Portman,PG_13
Mission: Impossible,181000000.0,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle B̩art,PG_13
Planet of the Apes,180000000.0,Tim Burton,Mark Wahlberg,Helena Bonham Carter,Tim Roth,PG_13
Madagascar: Escape 2 Africa,180000000.0,Eric Darnell,Tom McGrath,Ben Stiller,Chris Rock,PG
X-Men Origins: Wolverine,180000000.0,Gavin Hood,Hugh Jackman,Liev Schreiber,Ryan Reynolds,PG_13
Indiana Jones and the Temple of Doom,180000000.0,Steven Spielberg,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,PG
Top Gun,180000000.0,Tony Scott,Tom Cruise,Tim Robbins,Kelly McGillis,PG
Men in Black 3,179000000.0,Barry Sonnenfeld,Will Smith,Tommy Lee Jones,Josh Brolin,PG_13
Big Hero 6,179000000.0,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,PG
Pretty Woman,178000000.0,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,R
Hitch,178000000.0,Andy Tennant,Will Smith,Eva Mendes,Kevin James,TV_14
Night at the Museum: Battle of the Smithsonian,177000000.0,Shawn Levy,Ben Stiller,Owen Wilson,Amy Adams,PG
Tootsie,177000000.0,Sydney Pollack,Dustin Hoffman,Jessica Lange,Teri Garr,R
How to Train Your Dragon 2,177000000.0,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,PG
Rise of the Planet of the Apes,177000000.0,Rupert Wyatt,James Franco,Andy Serkis,Freida Pinto,PG_13
Captain America: The First Avenger,177000000.0,Joe Johnston,Chris Evans,Hugo Weaving,Samuel L. Jackson,PG_13
The Karate Kid,177000000.0,Harald Zwart,Jackie Chan,Jaden Smith,Taraji P. Henson,PG
There's Something About Mary,176000000.0,Bobby Farrelly,Peter Farrelly,Ben Stiller,Cameron Diaz,UNRATED
Ice Age,176000000.0,Chris Wedge,Carlos Saldanha,Denis Leary,John Leguizamo,TV_PG
The Bourne Supremacy,176000000.0,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,PG_13
