name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
the twilight saga: eclipse	2010	Adventure	124	4.9	156746	http://ia.media-imdb.com/images/M/MV5BNDMwNjAzNzYwOF5BMl5BanBnXkFtZTcwMDY5NzcyMw@@._V1._SX54_CR0,0,54,74_.jpg	3.01e+08	David Slade	Kristen Stewart	Robert Pattinson	Taylor Lautner	PG_13
the twilight saga: new moon	2009	Adventure	130	4.6	192919	http://ia.media-imdb.com/images/M/MV5BMTI3MjE3NDIxNF5BMl5BanBnXkFtZTcwODM3NTY5Mg@@._V1._SX54_CR0,0,54,74_.jpg	2.97e+08	Chris Weitz	Kristen Stewart	Robert Pattinson	Taylor Lautner	PG_13
harry potter and the deathly hallows: part 1	2010	Adventure	146	7.7	261719	http://ia.media-imdb.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1._SX54_CR0,0,54,74_.jpg	2.95e+08	David Yates	Daniel Radcliffe	Emma Watson	Rupert Grint	PG_13
the sixth sense	1999	Drama	107	8.2	570980	http://ia.media-imdb.com/images/M/MV5BMTc2MTQxNDI5MV5BMl5BanBnXkFtZTYwNjkzMDc4._V1._SX54_CR0,0,54,74_.jpg	2.94e+08	M. Night Shyamalan	Bruce Willis	Haley Joel Osment	Toni Collette	PG_13
up	2009	Animation	96	8.3	488090	http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1._SX54_CR0,0,54,74_.jpg	2.93e+08	Pete Docter	Bob Peterson	Edward Asner	Jordan Nagai	PG
inception	2010	Action	148	8.8	1096310	http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1._SX54_CR0,0,54,74_.jpg	2.93e+08	Christopher Nolan	Leonardo DiCaprio	Joseph Gordon-Levitt	Ellen Page	PG_13
the twilight saga: breaking dawn - part 2	2012	Adventure	115	5.6	152133	http://ia.media-imdb.com/images/M/MV5BMTcyMzUyMzY1OF5BMl5BanBnXkFtZTcwNDQ4ODk1OA@@._V1._SX54_CR0,0,54,74_.jpg	2.92e+08	Bill Condon	Kristen Stewart	Robert Pattinson	Taylor Lautner	PG_13
harry potter and the order of the phoenix	2007	Adventure	138	7.4	287029	http://ia.media-imdb.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1._SX54_CR0,0,54,74_.jpg	2.92e+08	David Yates	Daniel Radcliffe	Emma Watson	Rupert Grint	PG_13
man of steel	2013	Action	143	7.3	430305	http://ia.media-imdb.com/images/M/MV5BMjI5OTYzNjI0Ml5BMl5BanBnXkFtZTcwMzM1NDA1OQ@@._V1._SX54_CR0,0,54,74_.jpg	2.91e+08	Zack Snyder	Henry Cavill	Amy Adams	Michael Shannon	PG_13
star wars: episode v - the empire strikes back	1980	Action	124	8.8	626446	http://ia.media-imdb.com/images/M/MV5BMjE2MzQwMTgxN15BMl5BanBnXkFtZTcwMDQzNjk2OQ@@._V1._SX54_CR0,0,54,74_.jpg	2.9e+08	Irvin Kershner	Mark Hamill	Harrison Ford	Carrie Fisher	PG
harry potter and the goblet of fire	2005	Adventure	157	7.6	312538	http://ia.media-imdb.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1._SX54_CR0,0,54,74_.jpg	2.9e+08	Mike Newell	Daniel Radcliffe	Emma Watson	Rupert Grint	PG_13
home alone	1990	Comedy	103	7.4	236127	http://ia.media-imdb.com/images/M/MV5BMTUzMzg4MTg2M15BMl5BanBnXkFtZTYwNDM4OTk4._V1._SX54_CR0,0,54,74_.jpg	2.86e+08	Chris Columbus	Macaulay Culkin	Joe Pesci	Daniel Stern	PG
the matrix reloaded	2003	Action	138	7.2	364983	http://ia.media-imdb.com/images/M/MV5BMjA0NDM5MDY2OF5BMl5BanBnXkFtZTcwNzg5OTEzMw@@._V1._SX54_CR0,0,54,74_.jpg	2.81e+08	Andy Wachowski	Lana Wachowski	Keanu Reeves	Laurence Fishburne	R
the twilight saga: breaking dawn - part 1	2011	Adventure	117	4.9	155267	http://ia.media-imdb.com/images/M/MV5BODgxNDE0OTAzOF5BMl5BanBnXkFtZTcwNzcwODE2Ng@@._V1._SX54_CR0,0,54,74_.jpg	2.81e+08	Bill Condon	Kristen Stewart	Robert Pattinson	Taylor Lautner	PG_13
meet the fockers	2004	Comedy	115	6.3	181623	http://ia.media-imdb.com/images/M/MV5BNjcyNTIxMTM4NV5BMl5BanBnXkFtZTcwMzIyNjcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	2.79e+08	Jay Roach	Ben Stiller	Robert De Niro	Blythe Danner	TV_14
